iter	Passed	Remaining
635	999	572
636	1000	570
637	1001	568
638	1003	566
639	1004	565
640	1006	563
641	1007	561
642	1008	559
643	1009	558
644	1010	556
645	1011	554
646	1012	552
647	1013	550
648	1014	548
649	1015	546
650	1016	545
651	1017	543
652	1019	541
653	1020	539
654	1021	538
655	1022	536
656	1023	534
657	1024	532
658	1025	530
659	1026	528
660	1027	527
661	1028	525
662	1029	523
663	1031	521
664	1032	519
665	1033	518
666	1034	516
667	1035	514
668	1037	513
669	1038	511
670	1040	510
671	1042	508
672	1044	507
673	1045	505
674	1048	504
675	1050	503
676	1052	502
677	1054	500
678	1056	499
679	1058	498
680	1061	497
681	1064	496
682	1067	495
683	1068	493
684	1070	492
685	1074	491
686	1076	490
687	1080	490
688	1082	488
689	1084	487
690	1085	485
691	1087	484
692	1089	482
693	1091	481
694	1095	480
695	1099	480
696	1102	479
697	1105	478
698	1107	476
699	1111	476
700	1113	474
701	1115	473
702	1117	472
703	1119	470
704	1121	469
705	1124	468
706	1127	467
707	1129	465
708	1131	464
709	1133	463
710	1135	461
711	1137	460
712	1141	459
713	1143	458
714	1145	456
715	1147	455
716	1150	453
717	1152	452
718	1156	451
719	1158	450
720	1160	448
721	1161	447
722	1163	445
723	1165	444
724	1171	444
725	1173	443
726	1175	441
727	1177	439
728	1179	438
729	1181	436
730	1183	435
731	1188	434
732	1190	433
733	1193	432
734	1196	431
735	1198	429
736	1201	428
737	1204	427
738	1206	425
739	1208	424
740	1210	423
741	1213	421
742	1217	421
743	1219	419
744	1222	418
745	1224	416
746	1226	415
747	1228	413
748	1231	412
749	1234	411
750	1236	409
751	1238	408
752	1240	406
753	1241	405
754	1244	403
755	1248	402
756	1250	401
757	1251	399
758	1254	398
759	1255	396
760	1258	395
761	1259	393
762	1263	392
763	1265	390
764	1266	389
765	1269	387
766	1273	386
767	1275	385
768	1280	384
769	1283	383
770	1286	381
771	1288	380
772	1290	378
773	1293	377
774	1295	376
775	1297	374
776	1299	372
777	1300	371
778	1302	369
779	1304	367
780	1308	366
781	1310	365
782	1312	363
783	1314	362
784	1316	360
785	1317	358
786	1319	357
787	1322	355
788	1324	354
789	1326	352
790	1328	350
791	1329	349
792	1331	347
793	1333	345
794	1335	344
795	1339	343
796	1341	341
797	1343	340
798	1345	338
799	1347	336
800	1349	335
801	1353	334
802	1355	332
803	1357	331
804	1360	329
805	1362	327
806	1364	326
807	1368	325
808	1370	323
809	1372	321
810	1374	320
811	1376	318
812	1378	317
813	1383	316
814	1387	314
815	1389	313
816	1391	311
817	1394	310
818	1397	308
819	1399	307
820	1401	305
821	1404	304
822	1406	302
823	1408	300
824	1412	299
825	1414	297
826	1416	296
827	1418	294
828	1420	293
829	1423	291
830	1424	289
831	1429	288
832	1431	286
833	1433	285
834	1435	283
835	1437	282
836	1439	280
837	1443	279
838	1445	277
839	1447	275
840	1449	273
841	1451	272
842	1453	270
843	1458	269
844	1461	268
845	1463	266
846	1465	264
847	1467	263
848	1469	261
849	1474	260
850	1476	258
851	1479	256
852	1483	255
853	1488	254
854	1491	252
855	1492	251
856	1493	249
857	1495	247
858	1496	245
859	1498	243
860	1499	242
861	1502	240
862	1504	238
863	1506	237
864	1508	235
865	1509	233
866	1511	231
867	1512	230
868	1514	228
869	1517	226
870	1519	225
871	1520	223
872	1522	221
873	1525	219
874	1526	218
875	1527	216
876	1529	214
877	1531	212
878	1534	211
879	1536	209
880	1537	207
881	1539	205
882	1540	204
883	1542	202
884	1543	200
885	1554	200
886	1556	198
887	1558	196
888	1560	194
889	1563	193
890	1565	191
891	1567	189
892	1569	188
893	1570	186
894	1571	184
895	1573	182
896	1575	180
897	1578	179
898	1579	177
899	1581	175
900	1582	173
901	1584	172
902	1585	170
903	1587	168
904	1588	166
905	1590	164
906	1592	163
907	1593	161
908	1595	159
909	1596	157
910	1598	156
911	1599	154
912	1601	152
913	1602	150
914	1604	149
915	1606	147
916	1608	145
917	1610	143
918	1611	142
919	1613	140
920	1614	138
921	1616	136
922	1617	134
923	1619	133
924	1620	131
925	1623	129
926	1624	127
927	1626	126
928	1628	124
929	1629	122
930	1631	120
931	1632	119
932	1634	117
933	1635	115
934	1639	113
935	1641	112
936	1642	110
937	1644	108
938	1645	106
939	1647	105
940	1648	103
941	1650	101
942	1652	99
943	1654	98
944	1655	96
945	1657	94
946	1658	92
947	1660	91
948	1662	89
949	1663	87
950	1664	85
951	1666	84
952	1669	82
953	1671	80
954	1673	78
955	1675	77
956	1676	75
957	1678	73
958	1679	71
959	1680	70
960	1683	68
961	1684	66
962	1686	64
963	1687	63
964	1689	61
965	1690	59
966	1692	57
967	1693	55
968	1695	54
969	1698	52
970	1699	50
971	1701	49
972	1702	47
973	1704	45
974	1705	43
975	1707	41
976	1708	40
977	1710	38
978	1713	36
979	1714	34
980	1716	33
981	1718	31
982	1719	29
983	1721	27
984	1723	26
985	1725	24
986	1728	22
987	1730	21
988	1731	19
989	1733	17
990	1734	15
991	1736	14
992	1737	12
993	1739	10
994	1740	8
995	1743	7
996	1745	5
997	1746	3
998	1748	1
999	1749	0
